AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
,,,," -122.1721,36.7268 ",,,,,,,," -116.5334,45.5371 ",,,,," -93.6859,31.4427 ",," -79.0542,39.4834 ",," -87.9318,45.7570 ",,,,,,,," -71.6364,44.7526 ",,,," -71.7929,41.1249 ",,," -117.1774,44.2570 ",,,,,," -93.5266,31.0812 ",," -77.4687,39.0914 "," -73.3317,44.7857 "," -124.0212,46.2924 ",,,
,,,," -122.6871,37.2227 ",,,,,,,," -116.4640,45.6140 ",,,,," -93.7573,31.4755 ",," -79.0604,39.4738 ",," -87.9922,45.7953 ",,,,,,,," -71.5746,44.8198 ",,,," -71.7517,41.0462 ",,," -117.1445,44.2609 ",,,,,," -93.5335,31.1787 ",," -77.4485,39.0720 "," -73.3324,44.8043 "," -124.0329,46.2653 ",,,
,,,," -122.8903,37.7783 ",,,,,,,," -116.5354,45.6904 ",,,,," -93.7189,31.5083 ",," -79.1043,39.4553 ",," -88.1186,45.8058 ",,,,,,,," -71.5526,44.8325 ",,,," -72.9465,40.6306 ",,," -117.1005,44.2806 ",,,,,," -93.5980,31.1670 ",," -77.3427,39.0634 "," -73.3818,44.8398 "," -124.2444,46.2596 ",,,
,,,," -123.2378,37.8965 ",,,,,,,," -116.5354,45.7340 ",,,,," -93.8040,31.5411 ",," -79.1936,39.3853 ",," -88.0870,45.8585 ",,,,,,,," -71.5553,44.8539 ",,,," -73.4628,40.5368 ",,," -117.0511,44.2314 ",,,,,," -93.6832,31.3055 ",," -77.2936,39.0456 "," -73.3564,44.9040 "," -124.2691,46.4312 ",,,
,,,," -123.3202,38.3449 ",,,,,,,," -116.5594,45.7541 ",,,,," -93.8425,31.6113 ",," -79.2705,39.3449 ",," -88.1955,45.9531 ",,,,,,,," -71.5279,44.8744 ",,,," -73.8885,40.4887 ",,," -117.0428,44.2491 ",,,,,," -93.6708,31.3830 ",," -77.2459,39.0168 "," -73.3392,44.9181 "," -124.3529,46.8386 ",,,
,,,," -123.8338,38.7423 ",,,,,,,," -116.6357,45.7843 ",,,,," -93.8205,31.6581 ",," -79.3282,39.3014 ",," -88.3438,45.9722 ",,,,,,,," -71.5018,44.9123 ",,,," -73.9490,40.5232 ",,," -116.9797,44.2432 ",,,,,," -93.6887,31.4369 ",," -77.2445,38.9829 "," -73.3372,44.9643 "," -124.4380,47.1832 ",,,
,,,," -123.9793,38.9946 ",,,,,,,," -116.5965,45.7781 ",,,,," -93.7985,31.7071 ",," -79.4044,39.2535 ",," -88.3891,45.9836 ",,,,,,,," -71.5182,44.9366 ",,,," -74.2271,40.4772 ",,," -116.9742,44.1940 ",,,,,," -93.7202,31.5107 ",," -77.1834,38.9680 "," -73.3537,44.9799 "," -124.5616,47.4689 ",,,
,,,," -124.0329,39.3088 ",,,,,,,," -116.6597,45.7805 ",,,,," -93.8480,31.8029 ",," -79.4696,39.2073 ",," -88.5457,46.0113 ",,,,,,,," -71.5237,44.9697 ",,,," -74.2532,40.4861 ",,," -116.8945,44.1664 ",,,,,," -93.8315,31.5820 ",," -77.1120,38.9250 "," -73.3447,45.0046 "," -124.7566,47.8012 ",,,
,,,," -124.0823,39.7642 ",,,,,,,," -116.7105,45.8259 ",,,,," -93.9029,31.8892 ",," -79.4861,39.2051 ",," -88.7022,45.9970 ",,,,,,,," -71.5443,44.9862 ",,,," -74.1866,40.6468 ",,," -116.9330,44.0935 ",,,,,," -93.8123,31.6440 ",," -77.0464,38.8798 "," -73.3447,45.0109 "," -124.8679,48.0423 ",,,
,,,," -124.5314,40.1663 ",,,,,,,," -116.7586,45.8159 ",,,,," -93.9606,31.9149 ",," -79.4861,39.2546 ",," -88.8135,46.0227 ",,,,,,,," -71.5237,45.0017 ",,,," -74.0547,40.6556 ",,," -116.9714,44.0836 ",,,,,," -93.8232,31.7188 ",," -77.0444,38.7538 "," -73.3426,45.0104 "," -124.8679,48.2457 ",,,
,,,," -124.6509,40.4658 ",,,,,,,," -116.7908,45.8341 ",,,,," -94.0430,32.0081 ",," -79.4854,39.3444 ",," -88.8547,46.0418 ",,,,,,,," -71.5045,45.0163 ",,,," -74.0156,40.7618 ",,," -116.9879,44.0521 ",,,,,," -93.8342,31.7936 ",," -77.0409,38.7142 ",," -124.8486,48.3727 ",,,
,,,," -124.3144,41.0110 ",,,,,,,," -116.8046,45.8642 ",,,,," -94.0430,32.7041 ",," -79.4840,39.3454 ",," -89.0936,46.1408 ",,,,,,,,,,,," -73.9421,40.8699 ",,," -116.9302,44.0244 ",,,,,," -93.8782,31.8309 ",," -77.1312,38.6635 ",," -124.7539,48.4984 ",,,
,,,," -124.3419,41.2386 ",,,,,,,," -116.8595,45.9053 ",,,,," -94.0430,33.0225 ",," -79.4833,39.5316 ",," -90.1222,46.3384 ",,,,,,,,,,,," -73.8934,40.9980 ",,," -116.9659,43.9533 ",,,,,," -93.9221,31.8869 ",," -77.1285,38.6319 ",," -124.4174,48.4096 ",,,
,,,," -124.4545,41.7170 ",,,,,,,," -116.8739,45.9545 ",,,,,,," -79.4772,39.7214 ",," -90.4175,46.5692 ",,,,,,,,,,,," -73.9854,41.0343 ",,," -117.0209,43.8207 ",,,,,," -93.9661,31.9335 ",," -77.2456,38.5935 ",," -124.2389,48.3599 ",,,
,,,," -124.4009,41.9983 ",,,,,,,," -116.8925,45.9769 ",,,,,,,,," -90.2019,46.9034 ",,,,,,,,,,,," -74.6274,41.3268 ",,," -117.0264,43.6639 ",,,,,," -94.0430,32.0081 ",," -77.3094,38.4547 ",," -124.0116,48.2964 ",,,
,,,,,,,,,,,," -116.9302,46.0218 ",,,,,,,,," -89.9547,47.2913 ",,,,,,,,,,,," -74.7084,41.3583 ",,," -117.0264,42.0024 ",,,,,," -94.0430,33.4681 ",," -77.3046,38.3904 ",," -123.9141,48.2795 ",,,
,,,,,,,,,,,," -116.9838,46.0932 ",,,,,,,,," -89.4946,48.0129 ",,,,,,,,,,,," -74.7101,41.3811 ",,," -121.2836,41.9983 ",,,,,," -94.0430,33.5414 ",," -77.2188,38.3500 ",," -123.5413,48.2247 ",,,
,,,,,,,,,,,," -116.9344,46.1385 ",,,,,,,,," -89.3381,47.9743 ",,,,,,,,,,,," -74.8265,41.4386 ",,," -122.5003,42.0085 ",,,,,," -94.1528,33.5689 ",," -77.0622,38.4041 ",," -123.3998,48.2539 ",,,
,,,,,,,,,,,," -116.9268,46.1727 ",,,,,,,,," -88.6761,48.2448 ",,,,,,,,,,,," -74.9913,41.5075 ",,," -123.0798,42.0064 ",,,,,," -94.1968,33.5872 ",," -77.0265,38.4256 ",," -123.2501,48.2841 ",,,
,,,,,,,,,,,," -116.9646,46.2007 ",,,,,,,,," -88.3726,48.3042 ",,,,,,,,,,,," -75.0668,41.6000 ",,," -123.1540,42.0105 ",,,,,," -94.2627,33.5872 ",," -76.9826,38.3039 ",," -123.1169,48.4233 ",,,
,,,,,,,,,,,," -116.9591,46.2435 ",,,,,,,,,,,,,,,,,,,,," -75.0366,41.6719 ",,," -123.2419,42.0044 ",,,,,," -94.3176,33.5689 ",," -76.8851,38.2155 ",," -123.1609,48.4533 ",,,
,,,,,,,,,,,," -116.9920,46.2782 ",,,,,,,,,,,,,,,,,,,,," -75.0545,41.7672 ",,," -123.6209,42.0024 ",,,,,," -94.3945,33.5597 ",," -76.5926,38.1745 ",," -123.2220,48.5548 ",,,
,,,,,,,,,,,," -117.0209,46.3152 ",,,,,,,,,,,,,,,,,,,,," -75.1945,41.8808 ",,," -124.3982,41.9952 ",,,,,," -94.4275,33.5780 ",," -76.2424,37.9496 ",," -123.2336,48.5902 ",,,
,,,,,,,,,,,," -117.0511,46.3446 ",,,,,,,,,,,,,,,,,,,,," -75.3552,42.0013 ",,," -124.5493,42.1593 ",,,,,," -94.4275,33.6055 ",," -76.0501,37.9561 ",," -123.2721,48.6901 ",,,
,,,,,,,,,,,," -117.0408,46.4270 ",,,,,,,,,,,,,,,,,,,,," -75.4266,42.0003 ",,," -124.5877,42.6521 ",,,,,," -94.4495,33.6421 ",," -75.9416,37.9474 ",," -123.0084,48.7675 ",,,
,,,,,,,,,,,," -117.0394,46.9451 ",,,,,,,,,,,,,,,,,,,,," -77.0306,42.0013 ",,," -124.7305,42.8115 ",,,,,," -94.4879,33.6329 ",," -75.9512,37.9085 ",," -123.0084,48.8313 ",,,
,,,,,,,,,,,," -117.0319,48.9996 ",,,,,,,,,,,,,,,,,,,,," -79.7250,41.9993 ",,," -124.4119,43.7552 ",,,,,," -94.5236,33.6421 ",," -75.8002,37.9139 ",," -123.3215,49.0023 ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -79.7621,42.0003 ",,," -124.2554,46.0065 ",,,,,," -94.6637,33.6695 ",," -75.6931,37.9539 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -79.7621,42.1827 ",,," -124.2444,46.2587 ",,,,,," -94.7461,33.7061 ",," -75.6477,37.9474 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -79.7621,42.5146 ",,,,,,,,," -94.8999,33.7791 ",," -75.6258,37.9962 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -95.0757,33.8818 ",," -75.4596,38.0091 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -95.1526,33.9251 ",," -74.9707,38.0373 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -95.2254,33.9604 ",," -75.5777,37.3625 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -95.2858,33.8750 ",," -75.8180,36.8994 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -95.5399,33.8841 ",," -75.8043,36.5516 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -95.7568,33.8887 ",," -76.1476,36.5516 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -95.8420,33.8408 ",," -76.8617,36.5516 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -96.0274,33.8556 ",," -76.9180,36.5516 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -96.3528,33.6901 ",," -76.9180,36.5438 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -96.6179,33.8442 ",," -77.1803,36.5505 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -96.5836,33.8898 ",," -77.5278,36.5449 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -96.6673,33.8955 ",," -80.2730,36.5427 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -96.7538,33.8179 ",," -80.5971,36.5571 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -96.8335,33.8613 ",," -80.7248,36.5626 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -96.8774,33.8613 ",," -80.8511,36.5593 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -96.9159,33.9388 ",," -81.1066,36.5681 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -97.0917,33.7392 ",," -81.4746,36.5813 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -97.1645,33.7449 ",," -81.5007,36.5802 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -97.2180,33.8978 ",," -81.6792,36.5902 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -97.3746,33.8225 ",," -81.6476,36.6122 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -97.4611,33.8305 ",," -81.9237,36.6177 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -97.4460,33.8761 ",," -81.9360,36.5935 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -97.6945,33.9798 ",," -82.3961,36.5957 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -97.8648,33.8476 ",," -82.9344,36.5935 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -97.9651,33.8978 ",," -83.2654,36.5957 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -98.0983,34.0299 ",," -83.6746,36.6023 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -98.1752,34.1141 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -98.3743,34.1425 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -98.4773,34.0640 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -98.5529,34.1209 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -98.7520,34.1232 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -98.9539,34.2095 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -99.0637,34.2073 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -99.1832,34.2141 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -99.2505,34.3593 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -99.3823,34.4613 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -99.4318,34.3774 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -99.5718,34.4160 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -99.6158,34.3706 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -99.8094,34.4726 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -99.9934,34.5631 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -100.0017,36.4975 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -103.0408,36.5008 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -103.0655,32.0011 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," -106.6168,32.0023 ",,,,,,,
