AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
" -138.8548,59.0292 ",,," -114.6753,35.5780 "," -114.6451,33.0501 ",,,," -82.8548,28.6098 "," -84.9023,32.2500 ",,," -117.0030,43.8632 "," -90.2637,41.7713 "," -87.8137,38.3567 ",," -88.1584,37.6479 "," -93.7601,30.0144 ",," -77.7859,39.5019 ",," -83.1212,42.1267 "," -95.0400,49.3538 "," -92.5818,40.5962 "," -91.0876,33.9434 ",,,,," -72.1870,43.8187 ",,,," -73.4367,44.0511 ",,," -116.9165,45.9970 ",,,,,," -98.3276,26.1357 ",," -79.3103,38.4149 "," -72.4590,42.7289 "," -122.2009,45.5660 "," -90.7031,42.6340 "," -82.6392,38.1864 ",
" -136.8526,57.9032 ",,," -114.6547,35.6171 "," -114.6286,33.0305 ",,,," -83.0264,28.9697 "," -84.9628,32.3974 ",,," -116.9776,43.9073 "," -90.1538,41.9023 "," -87.7739,38.3767 ",," -88.0664,37.5097 "," -93.7106,30.0691 ",," -77.8436,39.5062 ",," -83.1493,42.0411 "," -95.1196,49.3681 "," -91.7358,40.6140 "," -90.9998,33.9889 ",,,,," -72.1843,43.8672 ",,,," -73.4065,44.0165 ",,," -116.8781,45.9569 ",,,,,," -98.1697,26.0457 ",," -79.2087,38.5138 "," -73.2761,42.7465 "," -122.2641,45.5439 "," -90.6303,42.5096 "," -82.5966,38.3761 ",
" -136.0725,56.9157 ",,," -114.6918,35.6528 "," -114.5888,33.0282 ",,,," -83.2050,29.0478 "," -85.0342,32.5468 ",,," -116.9302,44.0244 "," -90.1758,42.0819 "," -87.7444,38.4116 ",," -88.4180,37.4193 "," -93.7354,30.0929 ",," -77.8217,39.5210 ",," -83.1116,41.9600 "," -95.1553,49.3877 ",," -90.9229,34.0253 ",,,,," -72.1568,43.8890 ",,,," -73.4079,43.9375 ",,," -116.8588,45.8957 ",,,,,," -97.9143,26.0518 ",," -79.1016,38.6576 "," -73.2912,42.8025 "," -122.3321,45.5482 ",," -82.4854,38.4106 ",
" -134.9794,56.1555 ",,," -114.7028,35.7053 "," -114.5750,33.0351 ",,,," -83.5318,29.4157 "," -85.1001,32.6949 ",,," -116.9735,44.0491 "," -90.3598,42.2021 "," -87.6448,38.5149 ",," -88.5086,37.2784 "," -93.6996,30.1166 ",," -77.8354,39.5337 ",," -83.4164,41.7344 "," -95.1553,48.9991 ",," -90.9009,34.0891 ",,,,," -72.1321,43.9117 ",,,," -73.3749,43.8771 ",,," -116.8066,45.8747 ",,,,,," -97.6643,26.0050 ",," -79.0851,38.6941 "," -73.2850,42.8357 "," -122.3795,45.5756 ",," -82.3412,38.4407 ",
" -134.0057,55.3237 ",,," -114.7093,35.8050 "," -114.5174,33.0328 ",,,," -83.9767,29.9133 "," -85.1660,32.8138 ",,," -116.9330,44.1014 "," -90.4395,42.2936 "," -87.6723,38.5460 ",," -88.4248,37.1428 "," -93.7271,30.1997 ",," -77.8656,39.5231 ",," -83.8724,41.7211 "," -97.2304,49.0000 ",," -90.9668,34.1345 ",,,,," -72.1198,43.9454 ",,,," -73.3914,43.8167 ",,," -116.7902,45.8307 ",,,,,," -97.4020,25.8419 ",," -79.1016,38.7112 "," -73.2678,43.0679 "," -122.4392,45.5636 ",," -82.2876,38.5890 ",
" -133.6418,54.6341 ",,," -114.6602,35.8679 "," -114.4913,32.9718 ",,,," -84.1072,29.8930 "," -85.2072,32.9833 ",,," -116.8945,44.1561 "," -90.5356,42.4032 "," -87.6105,38.5949 ",," -88.5059,37.0738 "," -93.7106,30.2899 ",," -77.8848,39.5591 ",," -84.3736,41.7057 "," -97.1851,48.8647 ",," -90.9119,34.1709 ",,,,," -72.1170,44.0017 ",,,," -73.3557,43.7790 ",,," -116.7654,45.8192 ",,,,,," -97.3526,25.9074 ",," -79.0576,38.7712 "," -73.2472,43.5022 "," -122.5676,45.6006 ",," -82.1764,38.5976 ",
" -130.6261,54.7135 ",,," -114.7426,35.9836 "," -114.4775,32.9764 ",,,," -84.4409,29.6940 "," -85.3418,33.6512 ",,," -116.9714,44.1965 "," -90.6564,42.4843 "," -87.6242,38.5986 ",," -88.7421,37.1461 "," -93.7656,30.3350 ",," -77.8821,39.6015 ",," -84.8062,41.6965 "," -97.1576,48.7806 ",," -90.8501,34.1345 ",,,,," -72.0470,44.0856 ",,,," -73.4244,43.6460 ",,," -116.7105,45.8231 ",,,,,," -97.0148,25.9679 ",," -79.0604,38.7926 "," -73.2561,43.5615 "," -122.6891,45.6236 ",," -82.2148,38.7980 ",
" -129.9930,55.2869 ",,," -114.7536,36.0891 "," -114.4844,32.9372 ",,,," -85.0465,29.4551 "," -85.5231,34.5620 ",,," -116.9810,44.2442 ",," -87.5343,38.6828 ",," -88.9522,37.2249 "," -93.7601,30.3871 ",," -77.9974,39.6078 ",," -84.8076,41.7611 "," -97.1040,48.6683 ",," -90.9338,34.2277 ",,,,," -72.0552,44.1093 ",,,," -73.4340,43.5893 ",,," -116.6748,45.7828 ",,,,,," -97.0697,26.1789 ",," -79.0247,38.7926 "," -73.2939,43.5774 "," -122.7647,45.6582 ",," -82.0280,39.0160 ",
" -130.0108,55.9869 ",,," -114.6794,36.1124 "," -114.4679,32.8427 ",,,," -85.3610,29.4946 "," -85.6068,34.9929 ",,," -117.0339,44.2486 ",," -87.5075,38.7284 ",," -89.0964,37.1406 "," -93.6914,30.4416 ",," -78.0222,39.6247 ",," -87.2067,41.7621 "," -97.1645,48.5539 ",," -90.8267,34.2833 ",,,,," -72.0387,44.1428 ",,,," -73.3969,43.5655 ",,," -116.6144,45.7828 ",,,,,," -97.2249,26.8253 ",," -78.9944,38.8504 "," -73.3049,43.6271 "," -122.7750,45.6817 ",," -81.9649,38.9615 ",
" -130.1083,56.1057 ",,," -114.6327,36.1423 "," -114.5091,32.8161 ",,,," -85.5807,29.7262 ",,,," -117.0525,44.2304 ",," -87.4972,38.7696 ",," -89.1815,37.0278 "," -93.7106,30.5102 ",," -78.1430,39.6924 ",," -87.0241,42.4934 "," -97.1411,48.2832 ",," -90.6921,34.3434 ",,,,," -72.0580,44.1763 ",,,," -73.3818,43.6112 ",,," -116.5430,45.7522 ",,,,,," -97.0752,27.4230 ",," -78.8736,38.7637 "," -73.3557,43.6271 "," -122.7619,45.7613 ",," -81.8756,38.8750 ",
